V,t
-61.64677768046843,10.4
-61.36846784850374,10.425
-61.113256553045,10.450000000000001
-60.89732263620443,10.475000000000001
-60.69787894148651,10.5
-60.506505869148754,10.525
-60.31715747411552,10.55
-60.12564185299556,10.575000000000001
-59.92962114408199,10.600000000000001
-59.72861152735235,10.625
-59.52398322446853,10.65
-59.32266468847717,10.675
-59.13335081139117,10.700000000000001
-58.949240151549525,10.725000000000001
-58.76433392184901,10.75
-58.57430901294401,10.775
-58.3765179932466,10.8
-58.16998910892649,10.825000000000001
-57.95542628391103,10.850000000000001
-57.73376801036933,10.875
-57.496332181546,10.9
-57.25070158462988,10.925
-57.00454706006797,10.950000000000001
-56.76033023103275,10.975000000000001
-56.51530350342222,11.0
-56.261510065859774,11.025
-55.98541524766396,11.05
-55.681519043137605,11.075000000000001
-55.383671069912104,11.100000000000001
-55.11514110517316,11.125
-54.878984454312956,11.15
-54.65804195093033,11.175
-54.41493995683064,11.200000000000001
-54.09542890588145,11.225000000000001
-53.75909542246588,11.25
-53.42247352298611,11.275
-53.05208511757463,11.3
-52.62724586087227,11.325000000000001
-52.14006515202821,11.350000000000001
-51.595446134699976,11.375
-51.01108569705335,11.4
-50.417474471762546,11.425
-49.84635166656389,11.450000000000001
-49.23768416105343,11.475000000000001
-48.56693883933994,11.5
-47.82641214619554,11.525
-47.00900554208736,11.55
-46.10822550317744,11.575000000000001
-45.118183521322685,11.600000000000001
-44.033596104074995,11.625
-42.84927724923501,11.65
-41.52085786763741,11.675
-39.994874660973,11.700000000000001
-38.23153319933382,11.725000000000001
-36.18867438542508,11.75
-33.82177445456457,11.775
-31.083944974683504,11.8
-27.925932846325992,11.825000000000001
-24.296120302649147,11.850000000000001
-20.1405249094234,11.875
-15.402799565031327,11.9
-10.062676824981065,11.925
-4.216744794706072,11.950000000000001
2.0101265376136332,11.975000000000001
8.41832068307368,12.0
14.761275571787504,12.025
20.73707906834069,12.05
26.006897496279702,12.075000000000001
30.377020910982672,12.100000000000001
33.812694913253985,12.125
36.38791792511053,12.15
38.172193244490934,12.175
39.275034655355824,12.200000000000001
39.95945485160344,12.225000000000001
40.33549384225035,12.25
40.44580330478574,12.275
40.36086252643668,12.3
40.15096844643798,12.325000000000001
39.90046757007689,12.350000000000001
39.58290200303665,12.375
39.23468421488903,12.4
38.83156331915905,12.425
38.38587766043018,12.450000000000001
37.86161878261241,12.475000000000001
37.305102391485555,12.5
36.692551533048,12.525
36.0286270427164,12.55
35.36847884256765,12.575000000000001
34.69048844767996,12.600000000000001
34.01710809269863,12.625
33.28481548506445,12.65
32.51202391229201,12.675
31.676796656697643,12.700000000000001
30.836757579611213,12.725000000000001
29.96568258182076,12.75
29.13236865424475,12.775
28.268140138587924,12.8
27.32653090328754,12.825000000000001
26.337880530387945,12.850000000000001
25.313228436083616,12.875
24.346396339679668,12.9
23.35416481750743,12.925
22.317733135299374,12.950000000000001
21.29182875356054,12.975000000000001
20.21893770009067,13.0
19.19825587431083,13.025
18.139779456243936,13.05
17.032884019357606,13.075000000000001
15.977714570546691,13.100000000000001
14.898948094255083,13.125
13.79102545833697,13.15
12.595854654536737,13.175
11.397794855803806,13.200000000000001
10.2979125456154,13.225000000000001
9.105031331255766,13.25
7.954489375200496,13.275
6.833508019931735,13.3
5.639304608356937,13.325000000000001
4.464537173078139,13.350000000000001
3.3176102599279544,13.375
2.1764675666992046,13.4
1.01804909218408,13.425
-0.15176676379370058,13.450000000000001
-1.332222709846402,13.475000000000001
-2.4785011216723047,13.5
-3.6632055808557173,13.525
-4.795015734729874,13.55
-5.952226043157254,13.575000000000001
-7.1145650148339765,13.600000000000001
-8.254949998686557,13.625
-9.37870531162795,13.65
-10.608229975901354,13.675
-11.713798100871442,13.700000000000001
-12.827466404360909,13.725000000000001
-13.994381151660093,13.75
-15.079624715459618,13.775
-16.168223521494095,13.8
-17.252681212306857,13.825000000000001
-18.37639045722378,13.850000000000001
-19.480613978488076,13.875
-20.55007044722237,13.9
-21.630222753679615,13.925
-22.69251764134328,13.950000000000001
-23.759615699702984,13.975000000000001
-24.85531850680019,14.0
-25.974118622642308,14.025
-27.06840091493909,14.05
-28.12603734909123,14.075000000000001
-29.162439254648945,14.100000000000001
-30.21951793814275,14.125
-31.305051891353536,14.15
-32.364504607058706,14.175
-33.387680598942566,14.200000000000001
-34.41930356530922,14.225000000000001
-35.470411748085,14.25
-36.54534846427775,14.275
-37.698502482400684,14.3
-38.91747105799665,14.325000000000001
-40.122800299556744,14.350000000000001
-41.245726870256824,14.375
-42.39397937762686,14.4
-43.580954694909884,14.425
-44.808851666074496,14.450000000000001
-46.07577213047744,14.475000000000001
-47.37572092286352,14.5
-48.71621195187756,14.525
-50.08497797760505,14.55
-51.429635432639536,14.575000000000001
-52.74015490323196,14.600000000000001
-54.0508093906709,14.625
-55.4401743112829,14.65
-56.89168121056868,14.675
-58.33009519121783,14.700000000000001
-59.77897426423919,14.725000000000001
-61.229247196212455,14.75
-62.639082281453526,14.775
-63.96189461522131,14.8
-65.23936044589215,14.825000000000001
-66.43819690803602,14.850000000000001
-67.53038279405716,14.875
-68.50598285799727,14.9
-69.37314781553492,14.925
-70.1599827072383,14.950000000000001
-70.90604198221611,14.975000000000001
-71.56717028097344,15.0
-72.1088339740696,15.025
-72.53064068168437,15.05
-72.86633927361825,15.075000000000001
-73.15447520461673,15.100000000000001
-73.40193693420076,15.125
-73.62491012690789,15.15
-73.82647284134296,15.175
-73.996317014066,15.200000000000001
-74.10945028844162,15.225000000000001
-74.17441226824833,15.25
-74.25353588460865,15.275
-74.36518389082248,15.3
-74.47622481119447,15.325000000000001
-74.50518794730021,15.350000000000001
-74.48665417409639,15.375
-74.48474220745537,15.4
-74.5040304662092,15.425
-74.53534003945717,15.450000000000001
-74.5557346865658,15.475000000000001
-74.54195955903812,15.5
-74.53581712519552,15.525
-74.50883994280002,15.55
-74.446292187813,15.575000000000001
-74.36703519505055,15.600000000000001
-74.3224591227488,15.625
-74.3267040294057,15.65
-74.31887336658072,15.675
-74.26993834265251,15.700000000000001
-74.19290112489327,15.725000000000001
-74.14279483946855,15.75
-74.13240616151533,15.775
-74.10006427988314,15.8
-74.07175345107613,15.825000000000001
